"","x"
"1","0610009B22Rik"
"2","0610011F06Rik"
"3","0610037L13Rik"
"4","1110065P20Rik"
"5","1600014C10Rik"
"6","1700007K13Rik"
"7","1700013H16Rik"
"8","1700018B08Rik"
"9","1700021F05Rik"
"10","1700037H04Rik"
"11","1810022K09Rik"
"12","1810043G02Rik"
"13","1810043H04Rik"
"14","2010107G23Rik"
"15","2200002D01Rik"
"16","2210011C24Rik"
"17","2210016F16Rik"
"18","2310022A10Rik"
"19","2310022A10Rik"
"20","2310035C23Rik"
"21","2410002F23Rik"
"22","2410004B18Rik"
"23","2410141K09Rik"
"24","2610008E11Rik"
"25","2610015P09Rik"
"26","2610021A01Rik"
"27","2610301B20Rik"
"28","2610305D13Rik"
"29","2700097O09Rik"
"30","2810021J22Rik"
"31","2810408A11Rik"
"32","2810428I15Rik"
"33","3110001I22Rik"
"34","3110043O21Rik"
"35","3110057O12Rik"
"36","4930402H24Rik"
"37","4930432K21Rik"
"38","4930502E18Rik"
"39","4930522L14Rik"
"40","4930550L24Rik"
"41","4931406P16Rik"
"42","4933427D06Rik"
"43","4933434E20Rik"
"44","5031439G07Rik"
"45","5430403G16Rik"
"46","5730455P16Rik"
"47","5730507C01Rik"
"48","5730559C18Rik"
"49","8030462N17Rik"
"50","8030474K03Rik"
"51","9030617O03Rik"
"52","9030624J02Rik"
"53","9130019O22Rik"
"54","9230110C19Rik"
"55","9430038I01Rik"
"56","9830147E19Rik"
"57","A130010J15Rik"
"58","A430005L14Rik"
"59","A430033K04Rik"
"60","A4galt"
"61","A630001G21Rik"
"62","Aaas"
"63","Aacs"
"64","Aadat"
"65","Aagab"
"66","Aak1"
"67","Aamdc"
"68","Aamp"
"69","Aar2"
"70","Aars"
"71","Aars2"
"72","Aarsd1"
"73","Aasdhppt"
"74","Aass"
"75","Aatf"
"76","Abcb10"
"77","Abcb11"
"78","Abcb1b"
"79","Abcb6"
"80","Abcb7"
"81","Abcb8"
"82","Abcc1"
"83","Abcc10"
"84","Abcc4"
"85","Abcc5"
"86","Abcd1"
"87","Abcd3"
"88","Abcd4"
"89","Abce1"
"90","Abcf1"
"91","Abcf2"
"92","Abcf3"
"93","Abcg1"
"94","Abcg2"
"95","Abcg4"
"96","Abhd1"
"97","Abhd10"
"98","Abhd11"
"99","Abhd12"
"100","Abhd14a"
"101","Abhd14b"
"102","Abhd16a"
"103","Abhd17b"
"104","Abhd17c"
"105","Abhd2"
"106","Abhd4"
"107","Abhd5"
"108","Abhd6"
"109","Abi1"
"110","Abi2"
"111","Abi3"
"112","Abl1"
"113","Abl2"
"114","Ablim1"
"115","Ablim2"
"116","Abr"
"117","Abr"
"118","Abracl"
"119","Abt1"
"120","Abtb1"
"121","Abtb2"
"122","Acaa1a"
"123","Acaa2"
"124","Acaca"
"125","Acacb"
"126","Acad10"
"127","Acad11"
"128","Acad8"
"129","Acad9"
"130","Acadl"
"131","Acadm"
"132","Acads"
"133","Acadsb"
"134","Acadvl"
"135","Acap2"
"136","Acap3"
"137","Acat1"
"138","Acat2"
"139","Acbd3"
"140","Acbd5"
"141","Acbd6"
"142","Acbd7"
"143","Accs"
"144","Acd"
"145","Acin1"
"146","Acin1"
"147","Acin1"
"148","Acly"
"149","Acly"
"150","Aco1"
"151","Aco2"
"152","Acot1"
"153","Acot13"
"154","Acot2"
"155","Acot7"
"156","Acot7"
"157","Acot8"
"158","Acot9"
"159","Acox1"
"160","Acox3"
"161","Acp1"
